year,artists,name,popularity
2018,['girl in red'],we fell in love in october,83
2018,['XXXTENTACION'],Hope,83
2018,['XXXTENTACION'],the remedy for a broken heart (why am I so in love),83
2018,['Drake'],God's Plan,83
2018,['Halsey'],Without Me,83
2018,['Calum Scott'],You Are The Reason,83
2018,['Dean Lewis'],Be Alright,83
2018,['Bad Bunny'],Si Estuviésemos Juntos,83
2018,"['Kina', 'Adriana Proenza']",Can We Kiss Forever?,83
2019,['Lil Tecca'],Ransom,83
2019,['Billie Eilish'],i love you,83
2019,['Bea Miller'],feel something,83
2019,"['Post Malone', 'Swae Lee']",Sunflower - Spider-Man: Into the Spider-Verse,83
2019,"['Kygo', 'Whitney Houston']",Higher Love,83
2019,['Jonas Brothers'],Sucker,83
2019,['Peach Tree Rascals'],Mariposa,83
2019,"['Bad Bunny', 'Tainy']",Callaita,83
2019,"['Lil Nas X', 'Billy Ray Cyrus']",Old Town Road - Remix,83
2019,"['Sam Smith', 'Normani']",Dancing With A Stranger (with Normani),83
2019,"['Ed Sheeran', 'Khalid']",Beautiful People (feat. Khalid),83
2019,"['Ed Sheeran', 'Justin Bieber']",I Don't Care (with Justin Bieber),83
2020,"['The Kid LAROI', 'Juice WRLD']",GO (feat. Juice WRLD),83
2020,"['Gunna', 'Young Thug']",DOLLAZ ON MY HEAD (feat. Young Thug),83
2020,['Ariana Grande'],nasty,83
2020,['Ariana Grande'],shut up,83
2020,['Ariana Grande'],six thirty,83
2020,"['Ty Dolla $ign', 'Post Malone']",Spicy (feat. Post Malone),83
2020,['The Kid LAROI'],ALWAYS DO,83
2020,['Ariana Grande'],my hair,83
2020,['Taylor Swift'],cardigan,83
2020,['Don Toliver'],No Idea,83
2020,['BTS'],Dis-ease,83
2020,['Alexander 23'],IDK You Yet,83
1969,['The Beatles'],Here Comes The Sun - Remastered 2009,82
1972,['Elton John'],"Rocket Man (I Think It's Going To Be A Long, Long Time)",82
1974,['Lynyrd Skynyrd'],Sweet Home Alabama,82
1977,['Fleetwood Mac'],The Chain - 2004 Remaster,82
1984,['Bryan Adams'],Summer Of '69,82
1985,['Tears For Fears'],Everybody Wants To Rule The World,82
1987,['Whitney Houston'],I Wanna Dance with Somebody (Who Loves Me),82
1991,['R.E.M.'],Losing My Religion,82
1993,['Radiohead'],Creep,82
1995,"['Coolio', 'L.V.']",Gangsta's Paradise,82
2003,['Linkin Park'],Numb,82
2004,"['Usher', 'Lil Jon', 'Ludacris']",Yeah! (feat. Lil Jon & Ludacris),82
2005,['Coldplay'],Fix You,82
2006,"['Nelly Furtado', 'Timbaland']",Promiscuous,82
2010,"['Eminem', 'Rihanna']",Love The Way You Lie,82
2011,['Grouplove'],Tongue Tied,82
2012,['One Direction'],What Makes You Beautiful,82
2012,['Bruno Mars'],Locked out of Heaven,82
2013,['Arctic Monkeys'],Why'd You Only Call Me When You're High?,82
2014,['Sam Smith'],Stay With Me,82
2014,['Sam Smith'],I'm Not The Only One,82
2014,['Avicii'],The Nights,82
2015,"['Mark Ronson', 'Bruno Mars']",Uptown Funk (feat. Bruno Mars),82
